Fecha & Hora;PM2,5 (ug/m3);NO2  (ug/m3);O3  (ug/m3)
03/01/2013 01:00;4;11,41;28,16
03/01/2013 02:00;ND;12,79;17,58
03/01/2013 03:00;ND;4,54;21,53
03/01/2013 04:00;3;4,01;24,77
03/01/2013 05:00;1;4,54;20,66
03/01/2013 06:00;ND;5,95;12,99
03/01/2013 07:00;1;20,87;2,32
03/01/2013 08:00;ND;22,75;6,53
03/01/2013 09:00;ND;23,92;15,48
03/01/2013 10:00;1;19,19;30,04
03/01/2013 11:00;2;8,40;50,79
03/01/2013 12:00;ND;7,44;66,23
03/01/2013 13:00;ND;7,59;74,75
03/01/2013 14:00;ND;11,23;110,78
03/01/2013 15:00;9;11,92;119,65
03/01/2013 16:00;9;11,64;86,91
03/01/2013 17:00;5;22,43;34,79
03/01/2013 18:00;1;33,98;21,10
03/01/2013 19:00;ND;37,69;7,75
03/01/2013 20:00;ND;23,39;7,04
03/01/2013 21:00;ND;22,54;6,75
03/01/2013 22:00;2;22,77;8,60
03/01/2013 23:00;5;16,22;9,67
03/02/2013 00:00;2;11,47;14,01
03/02/2013 01:00;9;9,57;14,86
03/02/2013 02:00;5;8,42;11,73
03/02/2013 03:00;ND;9,51;6,48
03/02/2013 04:00;ND;13,26;1,63
03/02/2013 05:00;ND;8,72;1,10
03/02/2013 06:00;ND;6,23;1,16
03/02/2013 07:00;ND;5,54;1,24
03/02/2013 08:00;5;16,91;2,24
03/02/2013 09:00;4;40,25;11,19
03/02/2013 10:00;6;24,13;26,59
03/02/2013 11:00;7;14,28;52,81
03/02/2013 12:00;21;13,77;86,70
03/02/2013 13:00;13;10,72;91,68
03/02/2013 14:00;23;13,13;117,02
03/02/2013 15:00;14;14,56;136,46
03/02/2013 16:00;14;13,28;136,48
03/02/2013 17:00;13;11,81;121,29
03/02/2013 18:00;17;13,39;83,07
03/02/2013 19:00;2;25,54;13,01
03/02/2013 20:00;2;24,71;3,55
03/02/2013 21:00;4;30,44;1,84
03/02/2013 22:00;14;39,67;1,43
03/02/2013 23:00;14;37,20;6,59
03/03/2013 00:00;7;22,19;17,33
03/03/2013 01:00;ND;17,23;18,74
03/03/2013 02:00;16;23,09;7,36
03/03/2013 03:00;11;16,31;10,03
03/03/2013 04:00;7;16,56;5,61
03/03/2013 05:00;4;16,16;5,69
03/03/2013 06:00;5;13,75;6,81
03/03/2013 07:00;3;14,39;4,85
03/03/2013 08:00;11;15,09;3,18
03/03/2013 09:00;5;16,14;10,15
03/03/2013 10:00;5;10,49;30,00
03/03/2013 11:00;ND;8,63;57,36
03/03/2013 12:00;ND;7,03;75,18
